DATE,MOM_log_return
2005-01-02,
2005-01-09,
2005-01-16,0.28370297397784283
2005-01-23,-0.19882296556010945
2005-01-30,-0.19882296556010945
2005-02-06,1.4996573426332767
2005-02-13,1.4996573426332767
2005-02-20,1.435931826119459
2005-02-27,0.6210534697477752
2005-03-06,0.9089519476981821
2005-03-13,-0.40266788841514556
2005-03-20,-0.4464187294469232
2005-03-27,-1.3321085408054347
2005-04-03,-0.18477669676552808
2005-04-10,0.15525934245379316
2005-04-17,-2.0857010139989374
2005-04-24,-0.612528881970442
2005-05-01,-0.35915287056978934
2005-05-08,0.4745073509270997
2005-05-15,-0.8984400456905205
2005-05-22,-0.18728277712356672
2005-05-29,1.4007195192410529
2005-06-05,0.5476930950366385
2005-06-12,0.5084557001474279
2005-06-19,0.8429321306321116
2005-06-26,0.1620899832241172
2005-07-03,-0.03815811939381632
2005-07-10,0.45924524171739656
2005-07-17,0.4689271636486919
2005-07-24,0.24969243702699942
2005-07-31,0.5537341950698459
2005-08-07,0.818027013251077
2005-08-14,0.6698843692135842
2005-08-21,-1.099799835546566
2005-08-28,-0.019808638862370297
2005-09-04,1.2557644736667088
2005-09-11,1.3255591086254124
2005-09-18,-0.3132084760511701
2005-09-25,-0.3132084760511701
2005-10-02,0.6280523580969196
2005-10-09,-1.6538449111043125
2005-10-16,-1.7752596992967422
2005-10-23,-0.9488170188316943
2005-10-30,0.6655384493983064
2005-11-06,1.399183200511578
2005-11-13,-0.5254257003791851
2005-11-20,0.4557694764783539
2005-11-27,1.615462897571588
2005-12-04,0.07291379905660404
2005-12-11,1.135628946871418
2005-12-18,1.0836157433924216
2005-12-25,0.40959693882153414
2006-01-01,-0.10903170116929643
2006-01-08,1.6273489546951738
2006-01-15,0.6408289613309426
2006-01-22,-0.977003553212284
2006-01-29,0.7782485931266474
2006-02-05,0.6347705038381617
2006-02-12,-1.661457051927249
2006-02-19,-1.2409695247642571
2006-02-26,0.9880496917551926
2006-03-05,0.4709826729438351
2006-03-12,-1.543771265086216
2006-03-19,1.6265370256076228
2006-03-26,0.2903533473237342
2006-04-02,0.9525605264460165
2006-04-09,1.4337705894811443
2006-04-16,-0.6211533359837388
2006-04-23,1.2307160196257778
2006-04-30,-0.1423999719326678
2006-05-07,0.8836289369811954
2006-05-14,0.08378027609539003
2006-05-21,-2.2190833632737728
2006-05-28,-1.8152514298752411
2006-06-04,0.5766279647487393
2006-06-11,-2.2190833632737728
2006-06-18,-2.2190833632737728
2006-06-25,0.8358993628971978
2006-07-02,1.6273489546951738
2006-07-09,1.4722399409920428
2006-07-16,-1.6438223864694796
2006-07-23,-2.2190833632737728
2006-07-30,1.6273489546951738
2006-08-06,1.3000075574265344
2006-08-13,-0.9137540071017396
2006-08-20,0.7402551116779125
2006-08-27,-0.08257062751095606
2006-09-03,-0.14325310731071345
2006-09-10,-0.3063296113041757
2006-09-17,-2.040281072481475
2006-09-24,0.02126082847586374
2006-10-01,0.6539340818066465
2006-10-08,0.4904109915130481
2006-10-15,0.9035460593548569
2006-10-22,1.2520827711218818
2006-10-29,0.9776544540970763
2006-11-05,-0.37124497888842023
2006-11-12,0.7189950086221873
2006-11-19,0.7189950086221873
2006-11-26,0.4152796217503412
2006-12-03,0.7160905640921944
2006-12-10,1.2401133707279592
2006-12-17,1.2401133707279592
2006-12-24,-0.15959864339516386
2006-12-31,0.2868825672376968
2007-01-07,0.2868825672376968
2007-01-14,-0.42038151526540035
2007-01-21,0.4400130785593267
2007-01-28,0.407207766947985
2007-02-04,0.7043944356427044
2007-02-11,0.5312110879337774
2007-02-18,0.354582908569051
2007-02-25,0.3326539448465292
2007-03-04,-2.2190833632737728
2007-03-11,-0.6112523299886964
2007-03-18,0.03830377226321051
2007-03-25,1.6273489546951738
2007-04-01,-0.04741955465960165
2007-04-08,0.7996892561867316
2007-04-15,0.2945059879353111
2007-04-22,0.8104944873018196
2007-04-29,0.02347490139931259
2007-05-06,-0.04425791165088931
2007-05-13,0.1409797936023856
2007-05-20,0.22497779193262957
2007-05-27,-0.18897173435926057
2007-06-03,0.5642127793179986
2007-06-10,-0.8429497646105861
2007-06-17,-0.026353055982426522
2007-06-24,0.2874069812301049
2007-07-01,-0.6332022664746376
2007-07-08,1.4665881092516126
2007-07-15,0.6704796301023855
2007-07-22,0.1405236390969261
2007-07-29,-2.2190833632737728
2007-08-05,-1.1385818557311613
2007-08-12,-1.2077765604193906
2007-08-19,-1.2077765604193906
2007-08-26,1.6273489546951738
2007-09-02,0.8106743467246903
2007-09-09,0.5735339376296146
2007-09-16,0.4698257171848103
2007-09-23,1.6273489546951738
2007-09-30,1.3632914945210788
2007-10-07,0.5235045323229846
2007-10-14,0.8222641287010939
2007-10-21,-0.34407211670398075
2007-10-28,0.04614289427419646
2007-11-04,0.6434698781985678
2007-11-11,-1.3058730539758843
2007-11-18,-2.125309205841848
2007-11-25,-0.9651052746077912
2007-12-02,1.0264866170214484
2007-12-09,1.0199626965262356
2007-12-16,-0.3491799633302535
2007-12-23,-1.3898791165627171
2007-12-30,1.51630469891569
2008-01-06,-1.1077098794173963
2008-01-13,-1.9085123991255706
2008-01-20,-2.2190833632737728
2008-01-27,-2.2190833632737728
2008-02-03,1.6273489546951738
2008-02-10,-1.366058747688626
2008-02-17,1.0385240606519852
2008-02-24,0.4768644669345734
2008-03-02,0.8420937187523269
2008-03-09,-1.715285115274792
2008-03-16,-0.6242187462670961
2008-03-23,-1.4208966754867836
2008-03-30,1.60018390988165
2008-04-06,1.6273489546951738
2008-04-13,0.6715715741130748
