DATE,MSCI,LOW_VOL,MOM,VIX,CS,GDP,IR,CPI,Liquidity,PUT/CALL,Crude Oil
2020-08-02,6828.5542857142855,3898.8585714285714,2953.6471428571426,24.631428571428575,260.86858714285717,2.6422164351932094,0.556984348,0.7915942857142858,0.18428571428571425,0.5171428571428571,40.66285714285714
2020-08-09,6954.6214285714295,3919.7685714285717,3007.802857142857,22.901428571428575,259.4871457142857,2.6422164351932094,0.5481903041428572,0.9860800000000001,0.1957142857142857,0.45999999999999996,41.50142857142857
2020-08-16,7046.237142857143,3935.827142857143,2998.8571428571427,22.388571428571428,256.3500057142857,2.6422164351932094,0.6772295065714287,0.9860800000000001,0.09714285714285713,0.48714285714285716,42.07
2020-08-23,7090.7814285714285,3950.065714285714,3082.1057142857144,22.248571428571427,267.71285428571434,2.6422164351932094,0.6532371211428571,0.9860800000000001,0.10285714285714284,0.4557142857142858,42.6157142857143
2020-08-30,7239.39285714286,3975.465714285714,3141.464285714286,23.002857142857145,265.8899857142857,2.6422164351932094,0.705930261,0.9860800000000001,0.06,0.41,43.04428571428572
2020-09-06,7217.370000000001,3955.2714285714287,3133.4314285714286,29.27857142857143,263.72143571428575,2.6422164351932094,0.6871782712857143,1.30964,0.06857142857142857,0.5485714285714286,41.08
2020-09-13,7043.96,3912.542857142857,3007.087142857143,28.762857142857143,268.4971342857143,2.6422164351932094,0.6816118104285714,1.30964,0.09428571428571428,0.63,37.69571428571428
2020-09-20,7073.977142857142,3940.1385714285716,3036.14,25.918571428571422,266.5456914285714,2.6422164351932094,0.688271863,1.30964,0.07571428571428572,0.5614285714285714,40.0
2020-09-27,6890.094285714285,3854.6600000000003,3007.61,27.267142857142858,269.48142999999993,2.6422164351932094,0.6625997252857143,1.30964,0.11285714285714286,0.5514285714285715,39.98571428571428
2020-10-04,7022.740000000001,3914.362857142857,3076.4071428571433,26.917142857142856,274.16429714285715,2.6422164351932094,0.6807764085714286,1.353697142857143,0.12571428571428572,0.5014285714285714,38.56857142857143
2020-10-11,7197.19857142857,3983.6228571428574,3142.2985714285714,26.694285714285716,270.4742828571429,2.6422164351932094,0.7728652102857143,1.3713200000000003,0.07571428571428572,0.43999999999999995,40.40428571428571
2020-10-18,7277.0314285714285,3999.2971428571423,3203.894285714286,26.677142857142854,266.8257128571429,2.6422164351932094,0.7422256478571428,1.3713200000000003,0.0757142857142857,0.44000000000000006,40.61
2020-10-25,7200.925714285715,3954.3614285714284,3132.9500000000003,28.27714285714286,262.39714285714285,2.6422164351932094,0.8231801049999998,1.3713200000000003,0.045714285714285714,0.5028571428571429,40.35857142857143
